20.0594 22.9479  100 100 0.350289
11.1088 63.7466  100 100 0.321997
5.92048 23.1162  100 100 0.368557
30.3022 29.6431  100 100 0.322205
53.3477 1.30422  100 100 0.372459
9.53641 86.3901  100 100 0.31877
24.6423 26.3584  100 100 0.398882
83.2613 81.4034  100 100 0.321331
75.575 24.8466  100 100 0.322089
13.4162 41.6808  100 100 0.359444
6.99852 19.147  100 100 0.302447
79.6683 64.9849  100 100 0.372633
78.8816 1.46274  100 100 0.390583
35.6315 59.5142  100 100 0.312459
65.7061 93.3719  100 100 0.337378
30.5991 76.3985  100 100 0.377985
94.6403 11.1596  100 100 0.365867
35.9314 80.508  100 100 0.321617
46.6767 95.3503  100 100 0.339302
63.6172 82.2771  100 100 0.339973
27.6414 24.9924  100 100 0.315336
50.5768 76.3511  100 100 0.322252
36.8708 32.1755  100 100 0.377009
68.6221 36.3656  100 100 0.378523
69.551 5.59114  100 100 0.319553
11.1648 30.0084  100 100 0.368898
54.274 21.3072  100 100 0.369441
83.6581 47.2469  100 100 0.361331
23.2939 98.9367  100 100 0.311887
68.2316 96.7671  100 100 0.394182
