995.023 124.437  100 100 0.378977
834.32 523.119  100 100 0.398844
544.191 602.274  100 100 0.386361
920.522 563.112  100 100 0.343311
708.484 209.937  100 100 0.392111
774.12 854.166  100 100 0.320617
147.091 279.92  100 100 0.364268
569.163 393.245  100 100 0.367472
74.8809 345.567  100 100 0.37148
949.714 969.154  100 100 0.308439
190.516 290.545  100 100 0.380941
997.638 296.04  100 100 0.344251
944.107 274.714  100 100 0.347633
728.999 493.161  100 100 0.364747
637.111 634.675  100 100 0.303502
602.83 100.228  100 100 0.307813
425.197 281.457  100 100 0.367384
441.7 819.333  100 100 0.345081
583.229 95.9403  100 100 0.379727
853.089 226.116  100 100 0.344823
995.048 350.4  100 100 0.345242
585.465 768.502  100 100 0.333691
663.287 748.452  100 100 0.36949
19.7697 554.412  100 100 0.30565
471.927 644.528  100 100 0.394783
755.604 884.787  100 100 0.323798
557.944 806.671  100 100 0.372339
783.906 277.899  100 100 0.341808
451.448 785.215  100 100 0.396859
366.675 479.561  100 100 0.395818
993.16 682.393  100 100 0.356571
233.252 191.237  100 100 0.393735
842.225 10.2573  100 100 0.345169
883.91 522.189  100 100 0.317163
329.731 543.584  100 100 0.312052
905.877 165.515  100 100 0.357327
440.12 591.825  100 100 0.360616
818.932 321.5  100 100 0.332068
953.635 500.873  100 100 0.368361
879.93 860.458  100 100 0.361164
452.244 728.71  100 100 0.332641
703.562 882.422  100 100 0.327964
693.098 758.78  100 100 0.324424
401.874 922.372  100 100 0.395075
770.231 665.891  100 100 0.370682
496.858 844.349  100 100 0.332455
15.0603 693.669  100 100 0.353106
16.1 573.336  100 100 0.331198
606.66 444.837  100 100 0.338769
875.48 465.399  100 100 0.383223
