89.8186 417.688  100 100 0.344746
431.401 196.583  100 100 0.338277
582.681 250.775  100 100 0.303647
572.704 996.975  100 100 0.376732
214.437 479.532  100 100 0.355575
415.291 91.4882  100 100 0.301716
59.8425 106.613  100 100 0.342473
992.698 756.674  100 100 0.34415
449.415 734.226  100 100 0.389686
252.536 457.436  100 100 0.391693
660.4 885.71  100 100 0.333202
918.349 664.786  100 100 0.389617
194.527 596.943  100 100 0.304542
171.276 119.988  100 100 0.349849
79.972 261.735  100 100 0.318273
832.738 666.597  100 100 0.360974
764.784 358.43  100 100 0.388139
606.969 677.607  100 100 0.334245
36.9162 837.404  100 100 0.328967
505.225 289.874  100 100 0.365843
544.146 421.866  100 100 0.382536
845.759 356.2  100 100 0.353646
400.952 687.078  100 100 0.310163
760.528 331.456  100 100 0.328438
914.5 469.022  100 100 0.399167
901.95 883.573  100 100 0.304345
940.103 822.036  100 100 0.397966
494.011 786.267  100 100 0.343433
262.441 213.457  100 100 0.302016
643.211 155.108  100 100 0.378487
69.402 340.765  100 100 0.382722
763.032 495.536  100 100 0.348196
5.91847 321.482  100 100 0.35395
655.985 33.222  100 100 0.329512
399.873 115.758  100 100 0.35671
484.088 814.253  100 100 0.39561
65.0566 687.287  100 100 0.313884
229.178 766.216  100 100 0.364665
649.61 950.967  100 100 0.326677
453.227 90.5753  100 100 0.355845
509.839 761.96  100 100 0.352504
707.957 964.174  100 100 0.304766
95.9076 847.398  100 100 0.388091
810.562 65.9119  100 100 0.313285
714.347 733.625  100 100 0.385468
917.034 190.422  100 100 0.306228
71.6414 104.449  100 100 0.345038
6.81846 671.967  100 100 0.322816
892.503 233.493  100 100 0.32721
849.329 638.986  100 100 0.334042
