187.021 101.606  100 100 0.326033
220.747 51.9886  100 100 0.325166
155.445 61.1956  100 100 0.396405
8.46646 21.8214  100 100 0.381849
87.7917 49.3283  100 100 0.337639
106.53 107.613  100 100 0.338609
182.294 8.68929  100 100 0.388555
119.464 81.0906  100 100 0.345116
27.1897 51.7092  100 100 0.367481
278.534 57.5826  100 100 0.341542
146.785 88.3103  100 100 0.319345
26.9982 18.7765  100 100 0.326514
189.598 110.894  100 100 0.34521
18.0012 34.1735  100 100 0.383908
120.97 93.5742  100 100 0.323001
88.3142 25.9505  100 100 0.304769
16.527 125.229  100 100 0.331913
84.2798 102.7  100 100 0.389005
177.465 101.187  100 100 0.304082
236.881 34.2957  100 100 0.34426
194.43 51.1687  100 100 0.346281
153.092 109.141  100 100 0.357528
63.8352 98.6512  100 100 0.321337
191.623 108.52  100 100 0.301487
245.406 89.3619  100 100 0.318698
241.97 66.3852  100 100 0.366004
184.286 62.3776  100 100 0.316047
160.879 23.2363  100 100 0.307378
68.9301 101.497  100 100 0.338161
105.792 120.483  100 100 0.373507
60.886 138.988  100 100 0.393689
43.4898 67.1534  100 100 0.319214
19.4227 51.5515  100 100 0.38423
46.4996 140.286  100 100 0.329109
44.0504 148.949  100 100 0.316465
115.845 93.4507  100 100 0.381167
286.328 0.664829  100 100 0.350894
43.0889 49.4849  100 100 0.385061
157.813 112.886  100 100 0.386922
188.329 123.202  100 100 0.381128
