176.719 36.6326  100 100 0.332218
288.209 28.2855  100 100 0.351647
121.458 30.9968  100 100 0.374694
64.7761 138.113  100 100 0.354046
279.683 64.4896  100 100 0.393565
58.6365 124.413  100 100 0.340086
218.895 31.4695  100 100 0.369393
189.752 95.3601  100 100 0.317806
116.601 96.1898  100 100 0.312592
295.858 17.4036  100 100 0.344133
24.5901 11.0505  100 100 0.314002
43.3801 57.1766  100 100 0.301404
159.503 80.5098  100 100 0.323135
251.284 140.863  100 100 0.36572
38.527 41.0549  100 100 0.386259
119.268 20.358  100 100 0.37425
52.028 120.458  100 100 0.313026
164.923 32.1632  100 100 0.305831
226.224 52.2942  100 100 0.302221
164.956 110.834  100 100 0.382637
282.525 5.24952  100 100 0.381337
24.2339 115.898  100 100 0.383011
248.521 54.7652  100 100 0.385566
28.0016 23.0859  100 100 0.39113
51.532 5.92853  100 100 0.345036
187.131 48.1083  100 100 0.399589
13.8111 142.78  100 100 0.333784
229.438 124.533  100 100 0.333703
133.819 106.388  100 100 0.324226
294.359 72.5062  100 100 0.3888
40.9198 119.187  100 100 0.362529
105.535 117.597  100 100 0.341691
59.0692 89.7001  100 100 0.345259
189.151 89.3407  100 100 0.311642
16.0545 61.0881  100 100 0.330172
297.243 24.4287  100 100 0.384155
222.595 114.922  100 100 0.303891
262.699 143.687  100 100 0.367199
105.833 116.716  100 100 0.302179
213.099 127.349  100 100 0.318599
