67.4574 69.5732  100 100 0.379133
9.64975 0.478875  100 100 0.319158
25.1659 47.3667  100 100 0.354987
56.3935 46.5749  100 100 0.38931
6.32418 36.1016  100 100 0.389781
30.122 5.05141  100 100 0.324265
81.018 39.705  100 100 0.389908
95.0292 63.1181  100 100 0.30472
62.8421 19.176  100 100 0.313117
64.827 85.8216  100 100 0.375712
41.9402 16.7293  100 100 0.363754
40.0236 49.3575  100 100 0.399466
4.09154 62.5773  100 100 0.375127
56.7698 72.9277  100 100 0.33797
87.1367 6.90189  100 100 0.311237
45.553 59.5827  100 100 0.34379
64.4337 49.6462  100 100 0.369643
18.5658 9.64504  100 100 0.367436
73.5204 66.082  100 100 0.385503
89.6853 14.1559  100 100 0.345073
2.19037 60.7256  100 100 0.301807
80.7235 70.2  100 100 0.322029
5.70333 1.48887  100 100 0.380374
39.001 24.8877  100 100 0.392463
90.8374 17.8378  100 100 0.34147
84.3376 29.4014  100 100 0.371636
45.3535 28.9897  100 100 0.397575
38.7107 1.43062  100 100 0.369457
28.7903 13.0577  100 100 0.33767
6.4998 34.5405  100 100 0.307529
