55.041 53.0332  100 100 0.331748
17.4163 74.356  100 100 0.390704
28.2452 59.2468  100 100 0.368816
28.5681 21.2839  100 100 0.316047
86.8004 97.6692  100 100 0.300553
61.4157 24.0372  100 100 0.329144
74.0381 85.8405  100 100 0.392472
48.912 92.1925  100 100 0.306063
72.8048 10.2687  100 100 0.387682
89.0527 44.8841  100 100 0.342315
39.5309 44.3425  100 100 0.365563
93.6805 78.8572  100 100 0.335759
24.1251 48.3556  100 100 0.340654
32.1519 23.0738  100 100 0.346052
42.5656 97.0667  100 100 0.363054
83.9457 64.8922  100 100 0.366319
51.6007 15.804  100 100 0.306248
31.7873 38.307  100 100 0.338767
29.8154 65.399  100 100 0.384895
41.8562 99.2565  100 100 0.381888
86.1182 26.4429  100 100 0.311642
41.547 97.2158  100 100 0.317994
64.7165 56.579  100 100 0.352913
98.2617 7.05123  100 100 0.330693
86.2432 43.7973  100 100 0.304977
36.0453 9.30427  100 100 0.356074
35.9263 50.2189  100 100 0.358077
95.5191 62.1  100 100 0.350757
93.6697 67.317  100 100 0.301795
88.6227 88.5843  100 100 0.353665
